visual_reaction_time,auditory_reaction_time,,
691.87,642.63,,
739.17,676.73,,
588.35,559.48,,
850,800,,
767.12,645.93,,
586.7,484.07,,
850,800,,
524.56,492.75,,
850,712.55,,
850,800,,
553.68,413.77,,
850,800,,
725.19,630.04,,
701.2,581.47,,
850,767.67,,
661.57,561.55,,
850,800,,
850,749.84,,
583.7,505.41,,
565.35,516.29,,
451.44,439.47,,
850,732.08,,
505.87,435.71,,
850,800,,
850,800,,
850,800,,
642.8,490.93,,
850,719.56,,
640.27,524.96,,
838.59,696.18,,
707.05,583.47,,
850,800,,
850,800,,
850,790.87,,
828.65,687.06,,
516.65,488.73,,
847.78,752.71,,
742.42,678.74,,
850,800,,
850,800,,
599.97,500.61,,
850,800,,
850,783.27,,
623.63,564.28,,
850,753.2,,
850,800,,
676.09,545.74,,
850,800,,
850,800,,
850,800,,
666.5,599.52,,
850,800,,
446.49,389.37,,
500.4,405.15,,
495.79,479.5,,
768.78,653.87,,
850,740.4,,
765.91,655.95,,
692.27,613.03,,
850,800,,
504.33,442.03,,
602.11,529.39,,
850,800,,
800.4,668.31,,
850,800,,
632.88,563.85,,
705.05,657.87,,
722.36,650.92,,
850,751.19,,
850,800,,
500.85,445.82,,
575.51,489.23,,
490.36,430.5,,
429.33,364.05,,
427.66,375.39,,
850,800,,
485.59,413.35,,
678.89,511.36,,
850,734.59,,
550.49,471.05,,
850,771.03,,
820.68,677.9,,
850,800,,
655.84,577.5,,
850,800,,
850,800,,
658.87,563.95,,
580.82,473.16,,
528.35,465.74,,
850,800,,
666.67,552.95,,
850,730.29,,
628.12,533.86,,
526.63,422.26,,
850,800,,
850,800,,
612.27,514.2,,
780.58,666.93,,
662.8,588.81,,
620.61,492.34,,
633.66,558.12,,
695.15,549.52,,
745.4,625.93,,
660.62,554.89,,
570.26,495.16,,
775.26,646.73,,
652.17,590.2,,
507.23,394.11,,
771.37,665.38,,
850,794.53,,
416.93,340.75,,
850,757.1,,
850,800,,
850,795.31,,
850,800,,
602.26,557.93,,
846.94,723.53,,
680.58,601.55,,
850,778.9,,
850,739.42,,
639.74,518.26,,
559.13,532.03,,
850,740.95,,
850,784.61,,
850,800,,
578.01,497.94,,
498.65,452.77,,
522.94,470.33,,
770.97,632.61,,
744.84,632.79,,
685.09,579.34,,
746.4,671.11,,
598.39,576.83,,
610.97,505.44,,
850,800,,
682.58,590,,
623.72,552,,
850,744.23,,
670.98,594.32,,
522.35,472.64,,
540.83,488.74,,
850,752.98,,
720.8,643.6,,
544.13,481.36,,
606.78,487.63,,
795.34,624.53,,
664.64,545.87,,
506.51,455.32,,
799.96,671.03,,
824.65,749.53,,
683.86,584.02,,
843.87,686.2,,
431.39,395.69,,
850,789.18,,
713.25,578.8,,
850,800,,
564.08,473.6,,
709.26,608.02,,
850,800,,
689.22,618.86,,
826.79,715.57,,
850,795.3,,
770.62,615.65,,
850,743.33,,
759.39,656.02,,
850,730.83,,
650.22,563.94,,
594.2,469.78,,
850,762.4,,
547.91,477.54,,
850,800,,
723.4,592.53,,
850,786.75,,
694.15,547.51,,
601.36,496.02,,
589.74,500.43,,
613.17,526.76,,
850,781.79,,
453.94,428.86,,
850,800,,
707.44,650.82,,
850,685.9,,
436.28,382.02,,
850,800,,
466.61,404.82,,
763.84,679.35,,
812.73,597.63,,
743,659.81,,
833.03,676.93,,
807.8,683.62,,
619.73,562.99,,
800.76,705.08,,
520.42,454.24,,
850,800,,
621.84,534.49,,
850,800,,
846.73,708.42,,
683.62,573.8,,
622.07,523.31,,
840.17,711.95,,
547.4,417.37,,
611.27,524.09,,
737.23,661.62,,
850,800,,
367.05,336.27,,
850,712.95,,
477.62,431.07,,
664.89,578.31,,
458.76,399.31,,
835.05,683.55,,
850,800,,
850,800,,
850,800,,
607.45,496.09,,
712.54,617.2,,
784.31,673.85,,
762.61,627.42,,
607.81,504.8,,
480.99,393.07,,
839.67,700.2,,
686.29,601.21,,
635.68,571.95,,
763.5,675.67,,
711.44,608.65,,
850,800,,
663.39,564.96,,
850,800,,
850,800,,
850,800,,
716.12,597.42,,
653.76,579.57,,
747.69,640.03,,
760.39,636.53,,
818.25,658.34,,
697.04,628.47,,
725.93,631.23,,
850,755.8,,
848.23,677.59,,
780.02,621.62,,
828.85,735.24,,
850,655.87,,
803.25,643.5,,
812.53,662.19,,
720.49,577.1,,
850,800,,
806.96,618.88,,
606.54,477.25,,
850,800,,
850,800,,
850,800,,
663.27,575.92,,
680.75,587.83,,
594.32,507.38,,
850,800,,
669.71,578.61,,
699.92,580.51,,
850,708.36,,
744.91,648.69,,
700.52,598.51,,
556.73,429.17,,
465.36,443.25,,
732.82,657.35,,
850,800,,
771.82,688.04,,
737.77,660.49,,
850,728.73,,
720.4,549.75,,
689.46,567.7,,
850,800,,
795.61,687.34,,
850,790.21,,
807.54,639.76,,
740.18,643.97,,
850,800,,
850,725.17,,
845.73,716.9,,
850,800,,
850,800,,
850,784.57,,
598.54,490.69,,
685.78,560.89,,
850,800,,
656.51,565.91,,
850,762.22,,
850,800,,
843.94,744,,
488.58,434.88,,
563.49,472.94,,
386.19,345.61,,
850,657.48,,
753.91,651.22,,
850,800,,
724.79,600.64,,
690.16,614.81,,
505.11,462.25,,
633.88,502.44,,
815.43,682.24,,
657.17,609.8,,
850,800,,
463.11,414.11,,
850,788.31,,
850,800,,
850,736.28,,
633.28,504.49,,
644.51,573.73,,
850,800,,
526.04,491.06,,
850,800,,
684.24,597.46,,
850,731.51,,
804.48,607.1,,
390.2,382.32,,
655.16,569.51,,
811.12,640.86,,
797.13,626.56,,
819.86,709.8,,
850,787.16,,
688.81,580.51,,
677.48,553.27,,
850,800,,
850,800,,
712.71,619.9,,
646.41,548.54,,
770.51,660.79,,
850,790.03,,
786.38,660.56,,
543.07,467.09,,
850,754.1,,
664.98,576.18,,
682.15,545.29,,
850,760.13,,
810.18,640.52,,
850,800,,
655.29,527.88,,
850,800,,
850,775.65,,
850,800,,
697.88,548.33,,
782.67,656.83,,
697.97,614.91,,
539.76,457.24,,
687,613.45,,
850,703.59,,
850,800,,
850,800,,
579.96,477.12,,
688.61,601.14,,
850,800,,
850,761.22,,
850,800,,
712.37,596.8,,
850,800,,
850,800,,
537.7,511.31,,
850,800,,
843.3,696.65,,
850,800,,
546.24,439.17,,
725.75,620.25,,
850,795.96,,
618,494.06,,
850,775.77,,
661.73,561.02,,
738.23,601.96,,
361.76,279.03,,
850,729.43,,
664.64,563.97,,
760.7,607.97,,
850,800,,
548.87,466.71,,
480.73,401.3,,
643.88,580.92,,
850,716.16,,
684.65,612.43,,
850,800,,
850,732.09,,
620.49,512.9,,
513.37,430.18,,
527.87,451.35,,
500.73,432.64,,
850,800,,
759.58,634.72,,
424.66,351.53,,
726.23,555.69,,
781.33,647.36,,
472.91,388.34,,
850,746.15,,
850,800,,
693.9,571.15,,
835.46,698.5,,
470.36,346.53,,
661.16,550.12,,
710.61,597.39,,
650.16,576.44,,
499.16,377.12,,
850,800,,
805.04,667.45,,
788.19,670.93,,
850,800,,
850,800,,
784.56,682.1,,
604.48,508.24,,
727.18,621.45,,
471.19,350.17,,
694.17,597.01,,
737.04,637.74,,
850,800,,
710.5,610.4,,
694.68,621.64,,
850,800,,
615.53,543.93,,
850,800,,
850,800,,
440.14,361.79,,
828.91,729.44,,
752.54,697.66,,
850,800,,
628.83,508.12,,
850,789.68,,
552.15,466.02,,
850,720.45,,
689.38,574.27,,
756.36,639.35,,
850,800,,
732.34,565.11,,
801.54,615.81,,
850,800,,
850,800,,
640.18,539.98,,
850,800,,
717.62,619.33,,
514.04,436.84,,
768.74,686.76,,
850,735.45,,
612.19,523.91,,
521.94,473.17,,
419.95,357.53,,
787.14,663.42,,
633.42,546.08,,
850,800,,
708.53,582.91,,
850,785.92,,
850,800,,
850,800,,
841.47,699.45,,
850,800,,
770.28,667.74,,
696.68,561.62,,
716.21,578.26,,
646.48,579.57,,
850,800,,
761.5,642.78,,
554.49,419.31,,
850,800,,
850,800,,
458.53,452.36,,
850,800,,
593.25,534.54,,
587.15,515.47,,
566.02,485.06,,
761.5,584.3,,
443.71,358.76,,
850,794.37,,
815.4,706.79,,
850,784.85,,
846.46,759.05,,
586.19,480.71,,
850,800,,
626.24,531.82,,
850,800,,
834.1,676.01,,
850,800,,
850,800,,
750.8,642.76,,
648.88,527.93,,
850,800,,
850,734.1,,
684.19,561.26,,
657.05,560.93,,
850,800,,
850,764.04,,
707.92,635.25,,
692,582.72,,
850,751.05,,
850,800,,
850,776.55,,
819.51,685.25,,
643.28,526.17,,
730.45,609.51,,
833.92,755.51,,
771.46,686.67,,
816.97,679.48,,
440.41,384.77,,
719.66,624.49,,
746.7,635.01,,
850,800,,
702.57,635.74,,
584.99,545.36,,
660.74,625.64,,
649.28,595.79,,
743.05,609.76,,
634.71,531.14,,
528.98,450.23,,
850,767.45,,
850,800,,
850,800,,
730.59,636.46,,
850,800,,
555.75,473.83,,
850,695.51,,
798,743.92,,
850,800,,
830.61,726.56,,
802.48,694.9,,
850,800,,
786.3,661.78,,
785.92,707.14,,
528.63,468.7,,
688.01,577.78,,
850,800,,
567.4,509.23,,
850,800,,
850,800,,
641.31,538.91,,
498.15,436.27,,
575.96,484.37,,
646.3,538.47,,
664.71,565.14,,
850,800,,
668.91,583.74,,
684.58,548.68,,
850,743.48,,
560.1,485.06,,
499.24,425.52,,
850,719.23,,
670.43,570.97,,
850,800,,
776.02,613.93,,
805.16,658.74,,
682.89,543.84,,
804.87,740.65,,
850,800,,
850,800,,
690.9,594.17,,
756.42,661.45,,
850,738.06,,
850,738.49,,
739.34,596.29,,
641.7,577.88,,
709.79,608.58,,
717.83,595.01,,
850,800,,
516.39,478.86,,
567.15,556.44,,
783.34,670.06,,
850,800,,
586.58,515.73,,
850,719.78,,
650.71,536.7,,
596.72,504.98,,
772.2,655.5,,
690.67,540.26,,
710.84,606.69,,
655.4,561.55,,
850,800,,
850,706.66,,
693.54,593.6,,
850,784.56,,
850,800,,
648.83,545.63,,
653.28,575.86,,
553.22,468.29,,
600.21,534.07,,
850,800,,
675.54,619.66,,
850,800,,
850,800,,
577.65,459.04,,
447.41,394.03,,
458.85,363.06,,
390.73,324.9,,
474.9,384.51,,
455.02,420.66,,
436.5,386.18,,
342.71,270.26,,
443.37,357.36,,
452.61,393.94,,
378.75,288.42,,
423.97,382.09,,
490.95,404.25,,
389.79,307.89,,
404.61,289.06,,
393.01,313.23,,
435.35,372.13,,
356.18,329,,
472.66,375.28,,
468.89,428.29,,
448.51,376.42,,
457.77,399.49,,
473.3,423.46,,
358.47,288.92,,
486.74,378.18,,
448.26,351.04,,
445.74,360.92,,
477.07,358.76,,
449.97,353.18,,
319.59,295.77,,
463.33,404.86,,
459.83,372.26,,
454.93,370.4,,
412.54,406.31,,
453.27,374.78,,
496.82,400.45,,
475.52,394.93,,
444.88,411.5,,
352.52,319.04,,
484.6,390.16,,
460.13,368.35,,
431.56,342.06,,
461.11,394.83,,
482.58,401.91,,
460.06,361.33,,
466.17,385.29,,
469.55,381.21,,
425.26,410.13,,
412.52,381.28,,
349.65,336.53,,
442,394.04,,
436.21,403.12,,
453.17,417.02,,
464.87,431.64,,
351.63,313.59,,
449.23,366.23,,
395.03,328.78,,
477.17,394.6,,
400.09,367.7,,
493.49,404.53,,
468.72,406.8,,
470.33,415.52,,
477.65,407.75,,
460.51,374.93,,
478.43,382.76,,
367.03,316.45,,
406.93,394.37,,
394.62,351.46,,
431.58,407.44,,
451.02,384.21,,
464.34,377.69,,
503.53,395.97,,
410.3,379.61,,
379.64,323.81,,
485.71,386.47,,
466.91,430.94,,
462.12,431.8,,
409.01,364.95,,
384.46,319.1,,
365.23,344.56,,
370.3,354.41,,
421.88,347.82,,
480.25,406.63,,
468.5,414.29,,
470.41,393.83,,
476.14,409.08,,
370.46,332.1,,
425.51,354.96,,
366.81,335.56,,
427.13,413.96,,
429.19,361.71,,
473.64,384.93,,
331.86,297.15,,
356.06,335.22,,
409.48,387.52,,
438.76,396.42,,
449.01,357.81,,
446.26,380.33,,
474.04,369.31,,
404.74,349.16,,
358.17,334.49,,
379.44,302.25,,
416.95,334.01,,
446,368.15,,
482.24,363.27,,
442.6,407.97,,
469.68,392.19,,
390.53,344.22,,
446.99,347.16,,
468.07,410.79,,
441.31,362.39,,
417.85,403.42,,
497.44,369.2,,
474.07,378.9,,
512.42,384.01,,
483.71,396.9,,
425.74,357.02,,
423.49,409.9,,
442.38,387.28,,
477.51,415.19,,
339.76,268.21,,
482.37,408.58,,
456.59,415.26,,
467.15,355.02,,
428.83,344.45,,
480.57,399.98,,
453.18,384.29,,
401.45,365.75,,
351.94,336.19,,
472.01,413.27,,
383.14,299.01,,
441.98,389.53,,
451.55,403.67,,
454.82,371.04,,
466.47,404.06,,
374.31,327.76,,
485.57,400.07,,
380.69,276.38,,
434.76,345.04,,
424.86,357.29,,
432.88,347.03,,
463.62,431.77,,
386.36,282.18,,
495.14,388.72,,
383.94,349.7,,
407.37,364.21,,
464.78,402.53,,
385.84,352.63,,
436.05,376.37,,
475.93,382.46,,
491.03,400.97,,
390.21,334.48,,
460.22,325.26,,
433.9,368.54,,
452.8,429.75,,
468.69,369.97,,
484.43,405.76,,
487.02,409.28,,
460.53,365.95,,
472.06,389.47,,
443.87,379.96,,
353.32,339.76,,
475.06,409.71,,
450.19,396.85,,
448.19,407.99,,
408.96,351.75,,
414.75,343.29,,
404.29,306.86,,
399.37,331.21,,
406.03,373.94,,
367.83,315.42,,
472.52,399.66,,
416,349.95,,
421.83,355.11,,
440.88,384.49,,
484.24,400.42,,
435.58,390.27,,
393.01,338.73,,
423.84,385.13,,
479.69,374.71,,
455.86,400.13,,
432.55,396.94,,
364.36,353.53,,
415.61,377.44,,
445.98,399.67,,
496.96,363.27,,
442.89,389.89,,
486.84,413.1,,
468.46,380.74,,
448.21,377.65,,
422.88,359.32,,
451.85,423.09,,
388.78,375.22,,
388.08,355.29,,
411.56,371.3,,
451.98,370.33,,
394.21,368.46,,
476.09,397.15,,
399.25,366.36,,
453.25,446.01,,
362.27,312.07,,
437.67,399.56,,
446.7,408.78,,
420.28,353.52,,
428.92,332.35,,
491.45,398.58,,
465.88,398.1,,
448.17,386.93,,
437.56,331.9,,
350.21,314.24,,
405.34,393.06,,
374.21,323.51,,
344.56,335.06,,
434.16,345.35,,
467.09,417.87,,
455.65,355.75,,
452.03,382.42,,
417.28,382.29,,
482.46,392.17,,
427.75,396.67,,
435.73,334.57,,
468.13,411.94,,
466.92,341.17,,
425.59,370.34,,
426.39,347.62,,
428.96,366.26,,
481.2,355.62,,
464.31,337.24,,
480.9,395.67,,
419.26,331.87,,
439.39,428.93,,
458.88,409.57,,
458.93,410.27,,
416.82,377.72,,
387.2,297.52,,
445.18,399.58,,
480.76,401.99,,
372.74,312.31,,
388.01,380.85,,
442.54,394.33,,
421.36,383.63,,
471.2,349.81,,
370.23,302.96,,
444.06,430.51,,
376.69,270.42,,
462.99,396.51,,
276.9,268.28,,
404.14,361.03,,
458.64,358.89,,
366.07,297.91,,
454.12,411.11,,
485.11,377.95,,
396.69,355.41,,
449.52,396.96,,
402.73,371.48,,
385.68,342.85,,
469.79,407.68,,
379,327.53,,
360.26,262.32,,
448.97,363.51,,
428.54,351.36,,
465.17,400.43,,
470,385.79,,
443.67,401.4,,
473.55,383.14,,
444.24,416.9,,
481.92,363.64,,
436.59,386.77,,
350.75,295.46,,
404.91,348.56,,
456.53,411.86,,
390.9,299.18,,
459.49,434.56,,
467.51,402.21,,
446.31,376.35,,
425.39,328.54,,
431.72,379.01,,
441.31,356.15,,
375.52,312.81,,
508.15,375.79,,
358.72,310.89,,
387.64,336.98,,
471.04,413.9,,
388.55,342.56,,
458.65,397.27,,
403.86,377.87,,
496.8,369.29,,
363.11,324.02,,
429.31,386.98,,
398.38,375.95,,
458.64,410.51,,
452.43,401.16,,
455.48,365.76,,
500.69,361.25,,
419.81,396.47,,
406.51,267.06,,
433.56,392.02,,
421.96,378.17,,
438.26,386.1,,
469.47,407.87,,
442.67,371.65,,
465.03,387.33,,
460.41,391.21,,
481.07,368.47,,
451.57,399.43,,
494.55,398.9,,
482.21,407.05,,
455.87,381.33,,
479.11,376.38,,
384.74,285.33,,
436.69,399.29,,
442.03,371.94,,
412.84,354.84,,
319.25,274.83,,
450.64,417.57,,
467.26,404.47,,
469.39,411.81,,
478.85,413.63,,
458.27,402.29,,
467.98,362.55,,
470.17,411.11,,
463.08,393.97,,
439.63,375.68,,
445.03,353.58,,
376.03,340.7,,
469.65,411.14,,
423.75,343.61,,
456.53,386.02,,
443.97,379.98,,
483.4,414.51,,
440.1,325.93,,
348.49,316.12,,
447.22,406.89,,
405.74,361.67,,
473.37,424.99,,
409.34,388.24,,
471.97,392.67,,
433.45,385.48,,
487.78,406.12,,
466.77,392.3,,
370.27,351.58,,
414.51,298.52,,
446.06,320.03,,
430.34,382.97,,
460.81,405.67,,
400.31,373.53,,
455.96,355.62,,
449.11,389.23,,
348.28,316.42,,
422.24,387.46,,
435.5,387.26,,
398.65,342.15,,
458.65,383.81,,
471.1,403.79,,
383.92,344.61,,
463.75,396.07,,
403.38,335.64,,
501.48,380.71,,
428.71,367.39,,
415.82,358.32,,
468.2,340.65,,
427.87,358.09,,
415,392.54,,
407.82,363.64,,
386.99,312.29,,
365.85,305.91,,
432.35,342.18,,
469.82,367.4,,
450.11,412.4,,
436.99,375.09,,
463.08,404.86,,
487.92,369.2,,
436.63,351.56,,
436.76,394.01,,
480.78,415.75,,
441.24,302.45,,
475.23,402.65,,
476.12,413.25,,
422.45,352.46,,
303.39,248.93,,
415.6,343.62,,
478.99,413.5,,
409.07,337.99,,
392.73,344.09,,
378.1,323.18,,
386.98,365.95,,
436.5,327.65,,
482.99,396,,
438.63,394.62,,
383.34,352.2,,
447.07,415.01,,
473.52,392.43,,
429.97,392.45,,
478,413.98,,
449.3,448.76,,
467.86,383.84,,
486.27,388.15,,
479.14,414.34,,
423.12,350.5,,
480.81,398.8,,
375.93,312.18,,
382.15,372.34,,
423.09,356.97,,
438.79,318.03,,
485.94,377.43,,
480.57,417.35,,
369.77,341.74,,
451.38,395.69,,
456.99,393.29,,
305.13,213.97,,
450.28,415.59,,
381.3,319.45,,
438.94,368.98,,
481.78,383.58,,
465.87,386.22,,
462.28,369.21,,
481.89,387.57,,
401.42,344.36,,
420.91,385.34,,
454.04,332.22,,
387.15,346.18,,
453,380.66,,
428.33,416.11,,
483.99,398.55,,
390.76,352.13,,
428.8,363.84,,
453.91,355.68,,
466.63,432.89,,
489.43,360.39,,
400.47,291.9,,
456.3,433.42,,
371.1,291.79,,
422.31,343.18,,
349.84,326.51,,
471.83,420.42,,
453.09,397.43,,
390.63,341.39,,
468.1,424.44,,
486.03,382.83,,
385.43,300.97,,
449.63,421.84,,
485.36,402.75,,
514.16,338.66,,
467.91,406.07,,
458.57,390.55,,
431.35,366.27,,
450.97,322.14,,
428.23,340.92,,
453.7,419.97,,
472.24,396.93,,
405.08,354.76,,
409.8,339.64,,
406.9,354.75,,
466.8,414.72,,
425.39,319.14,,
427.31,370.14,,
406.5,361.05,,
393.68,370.48,,
367.8,307.07,,
473.74,350.57,,
428.78,368.25,,
427.97,384.09,,
479.86,415.5,,
416.67,400.73,,
485.75,404.31,,
446.02,403.95,,
415.02,318.47,,
447.28,415.98,,
453.29,445.13,,
450.4,379,,
347.26,322.45,,
458.91,357.69,,
449.57,342,,
409.04,340.2,,
503.87,363.83,,
491.86,368.69,,
387.71,315.39,,
449.08,384.13,,
451.28,356.67,,
438.23,324.35,,
368.96,350.59,,
467.99,408.06,,
302.12,271.85,,
470.95,416.86,,
437.99,370.41,,
419.43,346.68,,
452.55,401.69,,
479.04,380.35,,
441.97,403.42,,
392.65,373.15,,
444.19,343.29,,
480.85,418.9,,
492.38,403.61,,
319.01,263.18,,
364.64,328.11,,
369.36,337.25,,
416.03,359.7,,
379.34,314.94,,
488.19,387.64,,
482.32,359.29,,
291.3,242.29,,
445.48,372.47,,
477.86,372.83,,
414.55,363.91,,
384.41,343.13,,
470.11,426.49,,
430.9,376.3,,
457.75,345.9,,
349.15,306.91,,
488.7,378.96,,
408.12,310.09,,
476.61,406.04,,
403.63,353.01,,
432.22,357.18,,
474.76,383.59,,
443.56,404.71,,
413.68,363.64,,
417.1,381.34,,
470.5,384.87,,
481.92,407.1,,
480.08,396.56,,
466.23,412.43,,
453.05,408.52,,
484.84,407.35,,
505.21,388.43,,
398.4,330.29,,
367.93,308.79,,
450.63,382.3,,
453.22,422.08,,
450.14,340.17,,
432.08,342.59,,
419.6,373.84,,
444.41,395.34,,
476.45,383.69,,
488.48,384.27,,
466.89,394.86,,
470.72,399.6,,
454.44,342.8,,
387.53,347.28,,
439.32,397.46,,
466.79,395.77,,
512.52,385.75,,
390.3,332.05,,
399.9,344.54,,
334.78,288.68,,
436.34,346.08,,
498.31,391.27,,
427.14,371.64,,
470.14,407.06,,
459.19,409.42,,
427.85,371.46,,
497.49,395.1,,
462.56,413.86,,
321.77,305.41,,
474.52,403.71,,
356.38,331.84,,
418.6,377.9,,
338.61,323.88,,
465.26,385.79,,
464.25,402.75,,
452.04,387.76,,
450.29,354.3,,
407.85,391.98,,
459.82,381.58,,
506.05,381.35,,
457.89,345.04,,
464.61,397.25,,
453.16,369.48,,
440.62,405.24,,
471.52,357.39,,
423.71,377.76,,
398.07,388.07,,
479.25,419.6,,
398.55,369.76,,
468.11,420.78,,
328.43,304.18,,
436.16,427.85,,
447.08,363.45,,
429.05,369.36,,
463.02,408.23,,
390.67,295.73,,
408.46,354.52,,
399.69,325.5,,
444.42,428.01,,
422.12,385.29,,
421.79,362.34,,
504.13,379.1,,
377.15,334.59,,
440.18,421.04,,
494.98,395.25,,
347.32,300.56,,
446.4,411.35,,
490.46,393.4,,
443.95,367.76,,
466.04,387.48,,
459.1,404.99,,
384.16,360,,
481.41,380.44,,
449.21,349.23,,
512.97,381.15,,
429,378.55,,
425.78,380.64,,
454.13,392.31,,
428.08,356.55,,
450.12,340.56,,
485.33,409.57,,
461.27,384.12,,
447.25,386.15,,
411.94,354.55,,
466.17,402.68,,
468.61,342.68,,
415.01,382.76,,
453.7,391.78,,
492.46,403.26,,
472.73,356.16,,
487.78,400.7,,
413.75,378.77,,
491.14,404.08,,
489.24,403.68,,
462.56,353.21,,
447.92,344.83,,
464.86,433.84,,
333.7,288.14,,
452.28,385.97,,
472.34,376.17,,
378.1,324.07,,
391.28,351.23,,
434.55,420.08,,
450.15,420.19,,
438.42,361.01,,
411.42,350.48,,
335.54,283.97,,
376.73,351.69,,
424.59,387.65,,
398.51,351.03,,
469.28,429.33,,
480.06,402.13,,
408.88,340.83,,
483.34,390.51,,
322.65,275.92,,
282.57,251.92,,
321.83,262.31,,
325.02,272.98,,
299.97,262.73,,
300.21,265.07,,
324.29,257.15,,
313.31,252.6,,
311.01,240.71,,
324.09,245.43,,
309.73,270.07,,
318.92,279.64,,
263.72,214.8,,
291,270.41,,
314.88,244.87,,
302.13,264.1,,
312.14,271.25,,
307.49,284.16,,
291.95,270.62,,
333.13,250.98,,
331.54,259.65,,
316.3,265.85,,
294.12,269.18,,
326.17,258.51,,
333.96,259.41,,
297.97,260.13,,
308.64,287.99,,
304.55,231.21,,
334.9,245.72,,
289.75,277.68,,
296.37,243.55,,
308.94,285.24,,
284.68,282.84,,
312.67,286.72,,
303.89,267.46,,
293.33,256.78,,
340.01,244.52,,
309.55,286.83,,
318.51,271.89,,
310.91,285.6,,
306.85,284.4,,
293.67,272.19,,
279.23,224.16,,
287.13,277.71,,
284.52,275.88,,
304.99,274.85,,
304.59,267.69,,
301.69,296.65,,
322.85,265.65,,
316.58,261.88,,
299.07,296.72,,
310.27,283.39,,
313.27,271.25,,
319.81,274.93,,
308.19,257.77,,
288.35,285.96,,
294.39,276.32,,
280.08,254.06,,
318.92,280.31,,
300.84,261.86,,
313.01,282.03,,
311.37,279.63,,
310.04,273.33,,
332.51,260.35,,
316.53,258.76,,
285.71,253.19,,
315.99,269.62,,
296.81,285.23,,
356.37,239.57,,
317.01,270.61,,
294.62,261.24,,
328.82,265.75,,
309.98,250.59,,
292.48,272.29,,
302.77,280.95,,
318.24,268.97,,
286.45,278.83,,
308.05,253.55,,
316.66,280.21,,
271.77,230.23,,
299.94,256.94,,
322.07,257.88,,
314.23,270.32,,
317.68,270.01,,
306.68,285.4,,
290.13,249.38,,
325.85,268.08,,
323.7,269.96,,
334.57,251.76,,
288.3,282.06,,
311.01,258.26,,
278.56,278.29,,
322.49,268.18,,
285.26,240.02,,
314.26,277.43,,
292.63,278.6,,
307.47,287.84,,
295.04,266.3,,
284.97,243.27,,
350.64,245.44,,
291.64,253.94,,
329.36,266.12,,
298.61,275.46,,
331.08,267.86,,
310.15,275.96,,
284.59,247.14,,
329.22,257.88,,
298.45,287.73,,
328.65,261.26,,
323.39,271.52,,
321.22,277.21,,
319.23,272.41,,
302.13,247.39,,
314.42,263.74,,
293.95,286.01,,
319.47,278.18,,
303.22,296.64,,
294.48,250.61,,
288.51,261.39,,
312.25,286.25,,
323.68,270.13,,
307.32,270.72,,
311.24,272.81,,
308.13,273.64,,
291.35,271.58,,
324.77,263.3,,
300.5,284.31,,
270.58,259.34,,
307.13,268.15,,
312.33,273.29,,
330.26,269.64,,
304.08,258.6,,
335.14,258.24,,
315.02,266.55,,
331.85,219.8,,
333.49,214.76,,
323.5,273.74,,
326.53,269.25,,
302.3,282.28,,
313.72,285.57,,
303.86,264.38,,
297.09,287.19,,
301.39,243.87,,
